100129275726588145876	109596373340495798827 100129275726588145876 106724181552911298818 114122960748905067938 109130886479781915270 
100329698645326486178	116315897040732668413 111058843129764709244 118107045405823607895 115121555137256496805 116931379084245069738 100129275726588145876 
100466178325794757407	100466178325794757407 116807883656585676940 100668989009254813743 
100500197140377336562	116315897040732668413 100720409235366385249 104607825525972194062 118107045405823607895 106382433884876652170 114147483140782280818 109602109099036550366 100500197140377336562 116931379084245069738 106186407539128840569 100129275726588145876 105565257978663183206 106724181552911298818 106417861423111072106 
100535338638690515335	115516333681138986628 116825083494890429556 109602109099036550366 100720409235366385249 110701307803962595019 106417861423111072106 106186407539128840569 
100637660947564674695	102778563580121606331 116807883656585676940 108156134340151350951 116247667398036716276 114147483140782280818 
100668989009254813743	108883879052307976051 106228758905254036967 106382433884876652170 114122960748905067938 
100715738096376666180	100720409235366385249 106228758905254036967 100668989009254813743 108156134340151350951 116825083494890429556 104290609881668164623 109130886479781915270 100715738096376666180 104905626100400792399 104917160754181459072 106724181552911298818 111091089527727420853 106417861423111072106 
100720409235366385249	112463391491520264813 114122960748905067938 109130886479781915270 
100962871525684315897	116825083494890429556 109342148209917802565 113171096418029011322 100720409235366385249 100962871525684315897 107489144252174167638 111091089527727420853 106417861423111072106 112463391491520264813 
101130571432010257170	116825083494890429556 106382433884876652170 114147483140782280818 102340116189726655233 110971010308065250763 103752943025677384806 107203023379915799071 113718775944980638561 105565257978663183206 111213696402662884531 107489144252174167638 111091089527727420853 106417861423111072106 100668989009254813743 101185748996927059931 114124942936679476879 109596373340495798827 104917160754181459072 106724181552911298818 
101133961721621664586	106228758905254036967 115273860520983542999 111058843129764709244 117668392750579292609 102170431816592344972 101133961721621664586 115573545440464933254 116825083494890429556 106186407539128840569 112573107772208475213 109130886479781915270 
101185748996927059931	101185748996927059931 114104634069486127920 107040353898400532534 102170431816592344972 
101263615503715477581	114147483140782280818 103752943025677384806 113718775944980638561 116931379084245069738 101626577406833098387 110538600381916983600 113171096418029011322 100720409235366385249 107489144252174167638 103236949470535942612 107040353898400532534 116315897040732668413 101185748996927059931 112787435697866537461 114124942936679476879 109596373340495798827 104105354262797387583 107362628080904735459 115573545440464933254 104905626100400792399 106724181552911298818 
101373961279443806744	111058843129764709244 116825083494890429556 106382433884876652170 113718775944980638561 113171096418029011322 107489144252174167638 111091089527727420853 116315897040732668413 109596373340495798827 112463391491520264813 106724181552911298818 
101541879642294398860	106228758905254036967 116931379084245069738 115573545440464933254 109130886479781915270 
